,AAPL,MSFT,GOOG,AMZN,BRK-A,NVDA,V,JPM,UNH,JNJ,BAC,WMT,PG,HD,MA,XOM,PFE,DIS,CVX,KO,AVGO,PEP,CSCO,WFC,COST,LLY,ADBE
0,1.0585371255874634,0.05936354026198387,0.34152641892433167,0.16226431727409363,0.046088095754384995,0.7100653648376465,0.30364930629730225,0.042061738669872284,0.3790585994720459,0.6107428073883057,0.4995029866695404,0.03580706566572189,0.9391922354698181,0.22932837903499603,0.11698725074529648,0.6144097447395325,0.963384747505188,0.06755856424570084,0.19870467483997345,0.9347649216651917,0.07344412803649902,0.14567901194095612,0.17419642210006714,2.7182259559631348,0.32021450996398926,0.7187232971191406,0.021829156205058098
1000,0.0026378442998975515,0.004053422715514898,0.0036700633354485035,0.019804585725069046,0.00037727432209067047,0.002568889642134309,0.03464602306485176,0.0004032953002024442,0.02633736841380596,0.02672194130718708,0.030043283477425575,0.0012928759679198265,0.008598962798714638,0.02066890150308609,2.9929469747003168e-05,0.02369149588048458,0.03337334096431732,0.00027482243604026735,0.003432766767218709,0.02948884852230549,0.01773001439869404,0.0068182204850018024,0.004442042205482721,0.06221115589141846,0.012004419229924679,0.007978021167218685,3.817799733951688e-05
2000,0.00016382291505578905,0.00011981942225247622,0.0001083399256458506,0.00022603783872909844,0.00017097685486078262,0.0016247703460976481,0.007434876635670662,0.00016677846724633127,0.00020341601339168847,0.0011732918210327625,0.028380058705806732,0.00026607760810293257,0.0010390784591436386,0.01616179384291172,2.8973880034754984e-05,0.0006406493484973907,0.024000147357583046,0.00019866452203132212,0.001363940886221826,0.0043045589700341225,0.011364403180778027,0.0005304099759086967,0.0003935541317332536,0.029703449457883835,0.00017584751185495406,0.006113697309046984,3.522289262036793e-05
3000,9.141264308709651e-05,3.21958250424359e-05,0.00010324629693059251,0.00015119680028874427,0.00011342815560055897,0.00020184091408737004,0.001878571230918169,8.687658555572852e-05,6.84168262523599e-05,0.0006133804563432932,0.027791200205683708,0.00014015407941769809,0.00039889279287308455,0.00010116405610460788,2.837157080648467e-05,0.00042110218782909214,0.01943519338965416,0.00014438509242609143,0.0007796977879479527,0.0009012188529595733,0.0007772133685648441,0.00016121550288517028,0.000167793026776053,0.0007211672491393983,0.00013344646140467376,0.0008542207069694996,3.2182633731281385e-05
4000,5.1071911002509296e-05,1.4175314390740823e-05,9.609600965632126e-05,9.48316665017046e-05,8.654848352307454e-05,3.7360776332207024e-05,0.0009274233016185462,5.7667322835186496e-05,4.7062676458153874e-05,0.0003454098477959633,0.02387419529259205,9.631003922550008e-05,0.00029753937269560993,3.715288039529696e-05,2.7605221475823782e-05,0.00035166103043593466,0.012726030312478542,0.00010836543515324593,0.0005383242387324572,0.0006479180883616209,1.9416407667449676e-05,8.38363339425996e-05,0.0001088216740754433,0.0005526969907805324,0.00011025525600416586,9.472909005125985e-05,2.884770765376743e-05
5000,3.1046540243551135e-05,1.2387508832034655e-05,8.698549208929762e-05,6.249244324862957e-05,7.10472377249971e-05,3.27001471305266e-05,0.0004651384660974145,4.475945752346888e-05,4.2624265915947035e-05,0.00020739297906402498,0.00041982828406617045,7.441329944413155e-05,0.0002231288090115413,3.095097417826764e-05,2.671346373972483e-05,0.00030781610985286534,0.000718677940312773,8.422286919085309e-05,0.00040702338446862996,0.0004398697055876255,1.903453994600568e-05,5.590130967902951e-05,8.482467819703743e-05,0.0004823660710826516,8.710093243280426e-05,5.9375168348196894e-05,2.5529601771268062e-05
6000,2.147742452507373e-05,1.202756175189279e-05,7.644642028026283e-05,4.640396582544781e-05,6.098802259657532e-05,2.6795520170708187e-05,0.00024356682843063027,3.818578989012167e-05,3.9587466744706035e-05,0.00013691005005966872,0.0002467513841111213,6.156047311378643e-05,0.00016652084013912827,2.8443306291592307e-05,2.5745850507519208e-05,0.0002742570068221539,0.00027387874433770776,6.751994806108996e-05,0.00032376518356613815,0.00028675689827650785,1.863184843386989e-05,4.327571514295414e-05,7.250338967423886e-05,0.0004283966263756156,6.664009561063722e-05,3.863637539325282e-05,2.24300329136895e-05
7000,1.657260327192489e-05,1.1572009498195257e-05,6.535153806908056e-05,3.696942440001294e-05,5.394215986598283e-05,2.0238028810126707e-05,0.00013206615403760225,3.468420618446544e-05,3.5929631849285215e-05,9.926843631546944e-05,0.00015239324420690536,5.359139686333947e-05,0.0001265527243958786,2.552794830990024e-05,2.4762328393990174e-05,0.00025078069302253425,0.00011909366003237665,5.568526830757037e-05,0.0002675233699847013,0.00018027826445177197,1.8313849068363197e-05,3.7026122299721465e-05,6.53148817946203e-05,0.00037319250986911356,5.023766789236106e-05,2.788158417388331e-05,1.9724020603462122e-05
8000,1.3833703633281402e-05,1.0990062946802936e-05,5.463991692522541e-05,3.0378305382328108e-05,4.87956749566365e-05,1.4141704923531506e-05,7.129245932446793e-05,3.297361035947688e-05,3.181454667355865e-05,7.774595724185929e-05,0.00010189349268330261,4.892005745205097e-05,9.885193139780313e-05,2.244249299110379e-05,2.383009996265173e-05,0.0002379925863351673,8.325932139996439e-05,4.7393412387464195e-05,0.0002296254097018391,0.00011455496860435233,1.814542520151008e-05,3.3881769923027605e-05,6.096933429944329e-05,0.00031843766919337213,3.792591451201588e-05,2.3109265384846367e-05,1.7520160326967016e-05
9000,1.2174898984085303e-05,1.031138890539296e-05,4.504156459006481e-05,2.551299076003488e-05,4.51126616098918e-05,9.638692063163035e-06,4.338536746217869e-05,3.2283842301694676e-05,2.7688620320986956e-05,6.461964949266985e-05,7.525643013650551e-05,4.687394175562076e-05,7.930983701953664e-05,1.9515984604367986e-05,2.3013893951429054e-05,0.00023333600256592035,7.597872900078073e-05,4.2078547267010435e-05,0.0002060124825220555,8.21656794869341e-05,1.806183354347013e-05,3.229913272662088e-05,5.855888593941927e-05,0.0002702335477806628,2.9006307158851996e-05,2.1328400180209428e-05,1.5849824194447137e-05
